Depth profiles at each cell, TRIGRS, v. 2.1.00c
Infinite-depth no-flow boundary
Cell Number, Slope angle, Step#, Time
Z         P      Pzero     Ptran      Pbeta       FS
cell            1  15.0           1    0.0000000    
  3.3604       1.9977       1.1333      0.86444       2.7993       1.0849    
  3.4204       2.0243       1.1832      0.84104       2.8493       1.0826    
  3.4804       2.0514       1.2332      0.81814       2.8992       1.0803    
  3.5404       2.0789       1.2832      0.79574       2.9492       1.0781    
  3.6004       2.1070       1.3332      0.77382       2.9992       1.0758    
  3.6604       2.1355       1.3831      0.75238       3.0492       1.0735    
  3.7204       2.1645       1.4331      0.73142       3.0991       1.0713    
  3.7804       2.1940       1.4831      0.71092       3.1491       1.0690    
  3.8404       2.2239       1.5330      0.69088       3.1991       1.0667    
  3.9004       2.2543       1.5830      0.67130       3.2490       1.0645    
  3.9603       2.2851       1.6330      0.65216       3.2990       1.0622    
  4.0203       2.3164       1.6830      0.63346       3.3490       1.0599    
  4.0803       2.3481       1.7329      0.61519       3.3990       1.0577    
  4.1403       2.3803       1.7829      0.59736       3.4489       1.0554    
  4.2003       2.4128       1.8329      0.57994       3.4989       1.0532    
  4.2603       2.4458       1.8829      0.56293       3.5489       1.0510    
  4.3203       2.4792       1.9328      0.54633       3.5988       1.0487    
  4.3803       2.5129       1.9828      0.53013       3.6488       1.0465    
  4.4403       2.5471       2.0328      0.51432       3.6988       1.0443    
  4.5003       2.5816       2.0827      0.49890       3.7488       1.0421    
  4.5602       2.6166       2.1327      0.48386       3.7987       1.0399    
  4.6202       2.6519       2.1827      0.46919       3.8487       1.0377    
  4.6802       2.6875       2.2327      0.45488       3.8987       1.0356    
  4.7402       2.7236       2.2826      0.44094       3.9487       1.0334    
  4.8002       2.7600       2.3326      0.42735       3.9986       1.0312    
  4.8602       2.7967       2.3826      0.41411       4.0486       1.0291    
  4.9202       2.8338       2.4325      0.40121       4.0986       1.0270    
  4.9802       2.8712       2.4825      0.38864       4.1485       1.0249    
  5.0402       2.9089       2.5325      0.37641       4.1985       1.0228    
  5.1002       2.9470       2.5825      0.36449       4.2485       1.0207    
  5.1601       2.9853       2.6324      0.35289       4.2985       1.0186    
  5.2201       3.0240       2.6824      0.34160       4.3484       1.0166    
  5.2801       3.0630       2.7324      0.33061       4.3984       1.0145    
  5.3401       3.1023       2.7824      0.31992       4.4484       1.0125    
  5.4001       3.1418       2.8323      0.30952       4.4984       1.0105    
  5.4601       3.1817       2.8823      0.29940       4.5483       1.0085    
  5.5201       3.2218       2.9323      0.28957       4.5983       1.0065    
  5.5801       3.2622       2.9822      0.28001       4.6483       1.0045    
  5.6401       3.3029       3.0322      0.27071       4.6982       1.0025    
  5.7001       3.3439       3.0822      0.26168       4.7482       1.0006    
  5.7600       3.3851       3.1322      0.25290       4.7982      0.99864    
  5.8200       3.4265       3.1821      0.24438       4.8482      0.99672    
  5.8800       3.4682       3.2321      0.23610       4.8981      0.99482    
  5.9400       3.5101       3.2821      0.22805       4.9481      0.99294    
  6.0000       3.5523       3.3321      0.22025       4.9981      0.99106    
